,word,count,log_count,probability,first,second,third,fourth,fifth,log_likelihood
0,about,1226734006,20.927621195148053,4.7004698547698045e-05,a,b,o,u,t,36.69486444607318
1,other,978481319,20.70151225315163,4.64968442360028e-05,o,t,h,e,r,36.753144756321504
2,which,810514085,20.513179277150634,4.6073837020755127e-05,w,h,i,c,h,36.518640100589494
3,their,782849411,20.478450912342396,4.5995835020258094e-05,t,h,e,i,r,38.590205777693626
4,there,701170205,20.368261218665328,4.5748342326938765e-05,t,h,e,r,e,38.88677733849613
5,first,578161543,20.17536387374684,4.5315083264000115e-05,f,i,r,s,t,38.85948921186629
6,would,572644147,20.165775046852946,4.529354618086149e-05,w,o,u,l,d,37.80129344430667
7,these,541003982,20.10893719722729,4.516588494488821e-05,t,h,e,s,e,38.64332564129717
8,click,536746424,20.101036332381454,4.514813912624587e-05,c,l,i,c,k,37.52056220095356
9,price,501651226,20.033415667267924,4.4996259036788155e-05,p,r,i,c,e,39.313988229280056
10,state,453104133,19.931632531202474,4.476764797854208e-05,s,t,a,t,e,39.3637105496686
11,email,443949646,19.911221704055198,4.472180403057395e-05,e,m,a,i,l,37.65991694205903
12,world,431934249,19.883783933235687,4.466017714359213e-05,w,o,r,l,d,38.67765843984291
13,music,414028837,19.84144618395319,4.456508400693534e-05,m,u,s,i,c,38.40054540994174
14,after,372948094,19.73694980974775,4.433037885229535e-05,a,f,t,e,r,37.775880623750815
15,video,365410017,19.71653061532553,4.4284516110923406e-05,v,i,d,e,o,38.93909642194885
16,where,360468339,19.702914685589697,4.425393391208143e-05,w,h,e,r,e,38.13899270778133
17,books,347710184,19.666879886166644,4.417299758069848e-05,b,o,o,k,s,39.94655347207125
18,links,339926541,19.644240096348693,4.412214724822864e-05,l,i,n,k,s,39.50254897976955
19,years,337841309,19.63808684319766,4.410832667078437e-05,y,e,a,r,s,38.92165629425265
20,order,336631187,19.63449848842955,4.410026700969894e-05,o,r,d,e,r,38.39801571734336
21,items,330505325,19.616133329077808,4.4059017754895474e-05,i,t,e,m,s,37.418455022744375
22,group,321842984,19.58957435725062,4.399936470341711e-05,g,r,o,u,p,36.85919483861244
23,under,313296421,19.562660332301473,4.393891418122718e-05,u,n,d,e,r,36.988753139731415
24,games,305930896,19.538869804347847,4.388547922154767e-05,g,a,m,e,s,41.12463243034794
25,could,302311431,19.526968272465144,4.385874766361351e-05,c,o,u,l,d,38.68044995473976
26,great,301487430,19.52423888172011,4.3852617287495126e-05,g,r,e,a,t,39.12536046568378
27,hotel,297974790,19.512519443575687,4.3826294723072245e-05,h,o,t,e,l,39.872712156079345
28,store,291308910,19.489894808485577,4.377547842903454e-05,s,t,o,r,e,38.98527217400182
29,terms,277705910,19.44207323400952,4.3668068290473526e-05,t,e,r,m,s,40.014827726296986
30,right,273620358,19.427252148839276,4.3634779239889096e-05,r,i,g,h,t,37.34754261666985
31,local,270742935,19.41668034932209,4.3611034340993116e-05,l,o,c,a,l,39.26885088525998
32,those,270014141,19.413984889665247,4.36049801761439e-05,t,h,o,s,e,38.68890120994245
33,using,269448880,19.411889245719813,4.360027323353443e-05,u,s,i,n,g,35.76106961517707
34,phone,256643812,19.363199736023383,4.3490913660156516e-05,p,h,o,n,e,39.06061222485458
35,forum,254478181,19.354725657470155,4.347188036897881e-05,f,o,r,u,m,38.029399412803706
36,based,252405204,19.346546306485344,4.34535090536835e-05,b,a,s,e,d,40.21806054423415
37,black,244690155,19.31550329466524,4.338378457812032e-05,b,l,a,c,k,37.61472735178363
38,check,244491090,19.314689424497395,4.338195657667e-05,c,h,e,c,k,37.14176057584157
39,index,242826246,19.307856708506876,4.336660988473585e-05,i,n,d,e,x,36.37788443594237
40,being,242783091,19.307678973044126,4.3366210680174096e-05,b,e,i,n,g,38.68878368529119
41,women,242520455,19.30659661529997,4.336377963944518e-05,w,o,m,e,n,39.62294486441304
42,today,239271204,19.29310821132945,4.33334838711583e-05,t,o,d,a,y,39.59030324287843
43,south,238581133,19.290219990737974,4.332699675363186e-05,s,o,u,t,h,38.86805544956442
